id,slide_name,label_name,x,y,w,h
15214,HNL-33-18_HR2a_04_01,Tissue Only,1749.79579025,1023.75701625,128.0,128.0
15215,HNL-33-18_HR2a_04_01,Tissue Only,1969.3004062,1007.45531758,128.0,128.0
15216,HNL-33-18_HR2a_04_01,Tissue Only,2188.10210487,869.59379616,128.0,128.0
15217,HNL-33-18_HR2a_04_01,Tissue Only,2402.44700886,956.082533235,128.0,128.0
15218,HNL-33-18_HR2a_04_01,Tissue Only,2506.98725997,1122.18039143,128.0,128.0
15219,HNL-33-18_HR2a_04_01,Tissue Only,2325.14106352,1347.39807976,128.0,128.0
15220,HNL-33-18_HR2a_04_01,Tissue Only,2538.09508863,1450.11373708,128.0,128.0
15221,HNL-33-18_HR2a_04_01,Tissue Only,2556.16155835,1620.08511817,128.0,128.0
15222,HNL-33-18_HR2a_04_01,Tissue Only,2380.34250369,1606.625,128.0,128.0
15223,HNL-33-18_HR2a_04_01,Tissue Only,1962.94423929,1560.45679468,128.0,128.0
15224,HNL-33-18_HR2a_04_01,Tissue Only,2090.2320901,1725.19368538,128.0,128.0
15225,HNL-33-18_HR2a_04_01,Tissue Only,2261.87850812,1885.8028065,128.0,128.0
15226,HNL-33-18_HR2a_04_01,Tissue Only,2087.7344904,1950.97968981,128.0,128.0
15227,HNL-33-18_HR2a_04_01,Tissue Only,1682.65971196,1817.41045052,128.0,128.0
15228,HNL-33-18_HR2a_04_01,Tissue Only,1642.99723043,1484.45199409,128.0,128.0
15229,HNL-33-18_HR2a_04_01,Tissue Only,1506.81074594,1263.22747415,128.0,128.0
15230,HNL-33-18_HR2a_04_01,Tissue Only,1219.19793205,1342.82163959,128.0,128.0
15231,HNL-33-18_HR2a_04_01,Tissue Only,951.506093058,1433.67743722,128.0,128.0
15232,HNL-33-18_HR2a_04_01,Tissue Only,826.536373708,1486.66543575,128.0,128.0
15233,HNL-33-18_HR2a_04_01,Tissue Only,959.941100443,1106.73116691,128.0,128.0
15234,HNL-33-18_HR2a_04_01,Tissue Only,1009.17522157,995.535635155,128.0,128.0
15235,HNL-33-18_HR2a_04_01,Tissue Only,1207.00904727,1091.53618907,128.0,128.0
15236,HNL-33-18_HR2a_04_01,Tissue Only,1242.85782866,845.784342688,128.0,128.0
15237,HNL-33-18_HR2a_04_01,Tissue Only,1418.66192762,876.264032496,128.0,128.0
15238,HNL-33-18_HR2a_04_01,Tissue Only,1257.33493353,691.127584934,128.0,128.0
15239,HNL-33-18_HR2a_04_01,Tissue Only,1548.4922452,582.160450517,128.0,128.0
15240,HNL-33-18_HR2a_04_01,Tissue Only,1754.23762925,568.565731167,128.0,128.0
